url,arrangement_type,employment_type,domain,English level,requirements
https://djinni.co/jobs/762230-osint-analyst/,Hybrid Remote,Fulltime,MilTech,B2 - Upper Intermediate,"Data Analisys, Power BI, Analysis and research, Excel/Google sheets, statistics, Data Analyst, analytical skills, Excel"
https://djinni.co/jobs/762769-junior-data-analyst/,Hybrid Remote,Fulltime,Education,B1 - Intermediate,"SQL, Python, Tableau, Power BI, Looker Studio, A/B testing"
https://djinni.co/jobs/762772-product-analyst/,Hybrid Remote,Fulltime,Education,B1 - Intermediate,"SQL, Python, Tableau, Power BI, Data Analysis, Looker Studio, A/B testing"
https://djinni.co/jobs/763501-finansovii-analitik-analitik/,Full Remote,Fulltime,Advertising / Marketing,,Not Listed
https://djinni.co/jobs/763752-business-analyst/,Office Work,Fulltime,SaaS,B2 - Upper Intermediate,BA
https://djinni.co/jobs/763854-junior-data-analyst/,Full Remote,Fulltime,Education,,"SQL, Python, Data Analysis, Excel, Tableau"
https://djinni.co/jobs/764725-data-analyst/,Full Remote,Fulltime,Mobile,B1 - Intermediate,"SQL, Python"
https://djinni.co/jobs/765467-data-analyst/,Hybrid Remote,Fulltime,Other,B1 - Intermediate,SQL
https://djinni.co/jobs/765980-data-analyst-marketing/,Full Remote,Fulltime,Advertising / Marketing,,"Python, Power BI, Data Visualisation, Data Analysis, Data Analyst, statistics, Google Sheets, Excel/Google sheets, Marketing Mix Modeling, MMM"
https://djinni.co/jobs/766219-finansovii-analitik-digital-traffic-pl-analys/,Full Remote,Fulltime,Other,B1 - Intermediate,Not Listed
https://djinni.co/jobs/767129-data-analyst/,Full Remote,Fulltime,E-commerce / Marketplace,A2 - Elementary,"Power BI, Excel"
https://djinni.co/jobs/767432-data-analyst/,Full Remote,Fulltime,Fintech,A1 - Beginner,"SQL, Python, Data Visualisation, PostgreSQL, Data Analyst, Jupyter Notebook, Git, ability to learn quickly"
https://djinni.co/jobs/767466-data-analyst/,Hybrid Remote,Fulltime,Dating,,Not Listed
https://djinni.co/jobs/766982-data-analyst/,Full Remote,Fulltime,Gambling,,Not Listed
